0,17498,6,-16,244
1,17498,7,-15,248
2,17498,5,-21,250
3,17498,6,-17,249
4,17499,8,-18,249
5,17498,6,-18,250
6,17498,8,-17,248
7,17498,6,-18,250
8,17498,6,-17,250
9,17498,4,-19,250
10,17498,7,-16,252
11,17499,10,-18,248
12,17498,7,-18,250
13,17499,6,-20,251
14,17499,6,-17,249
15,17499,7,-16,248
16,17499,7,-17,249
17,17499,7,-17,251
18,17499,7,-14,245
19,17499,7,-16,249
20,17498,6,-18,251
21,17497,8,-18,248
22,17498,7,-16,248
23,17498,5,-17,249
24,17498,6,-19,247
25,17498,7,-18,250
26,17497,6,-15,247
27,17498,6,-16,251
28,17497,7,-17,250
29,17498,7,-16,249
30,17497,8,-20,253
31,17496,64,-51,231
32,17497,-18,-36,254
33,17497,8,-25,261
34,17496,-19,-42,282
35,17497,-77,21,241
36,17496,-48,75,284
37,17497,-26,13,296
38,17496,0,35,232
39,17496,13,48,224
40,17497,16,65,222
41,17496,18,40,237
42,17497,10,76,232
43,17497,13,25,250
44,17497,14,55,260
45,17498,16,85,241
46,17498,12,83,211
47,17497,21,77,238
48,17497,16,89,246
49,17498,19,65,246
50,17497,17,68,244
51,17497,16,68,268
52,17498,7,78,245
53,17498,0,81,239
54,17497,16,66,223
55,17498,22,67,239
56,17497,28,69,254
57,17497,14,72,253
58,17498,11,77,236
59,17497,13,84,232
60,17498,16,79,240
61,17496,18,81,225
62,17497,15,91,225
63,17498,17,85,232
64,17494,17,72,235
65,17497,25,84,218
66,17497,22,68,235
67,17497,22,52,241
68,17497,16,56,279
69,17497,23,77,252
70,17497,30,94,334
71,17498,29,114,339
72,17497,25,94,267
73,17496,26,125,164
74,17495,20,156,171
75,17496,23,154,87
76,17497,21,162,60
77,17496,29,137,147
78,17497,51,93,226
79,17497,28,80,245
80,17495,25,44,288
81,17495,36,59,366
82,17495,49,25,378
83,17496,47,68,327
84,17495,36,70,253
85,17494,33,102,216
86,17495,25,164,156
87,17495,15,151,112
88,17496,9,161,106
89,17497,16,133,164
90,17496,27,138,192
91,17496,18,70,215
92,17496,23,89,254
93,17496,20,55,294
94,17496,18,62,308
95,17496,8,89,344
96,17497,13,80,323
97,17496,23,92,317
98,17495,28,80,250
99,17497,47,86,143
100,17497,37,143,109
101,17495,34,176,138
102,17496,51,161,112
103,17495,49,98,145
104,17497,47,124,180
105,17498,41,58,256
106,17497,47,50,267
107,17497,75,-2,309
108,17497,22,79,307
109,17497,31,61,273
110,17497,25,33,252
111,17496,34,-19,232
112,17495,29,24,240
113,17496,15,9,255
114,17496,41,-18,254
115,17496,15,-2,244
116,17496,5,43,147
117,17496,47,-11,260
118,17497,29,4,250
119,17496,31,5,251
120,17497,28,5,246
121,17496,32,6,252
122,17497,32,7,246
123,17496,30,6,249
124,17497,34,5,250
125,17497,31,4,249
126,17497,29,5,251
127,17496,31,5,250
128,17497,30,3,248
129,17497,28,8,242
130,17497,33,5,251
131,17496,37,4,254
132,17497,31,5,250
133,17497,32,5,249
134,17498,31,7,251
135,17497,33,4,250
136,17496,32,5,251
137,17497,33,4,250
138,17498,32,5,251
139,17497,32,6,250
140,17497,35,6,252
